ProductID,ProductName,Category,UnitPrice,StockQuantity,Category
2000,Electronics-Be,Electronics,969.31,78,SupplierB
2001,Electronics-Be,Clothing,412.35,93,LocalBendor
2002,Office-Family,Clothing,866,97,LocalVendor
2003,Electronics-Training,Clothing,385.18,115,LocalVendor
2003,Electronics-Training,Clothing,385.18,115,LocalVendor
2004,Office-Where,Home,927.25,23,LocalVendor
2005,Office-Huge,Home,428.78,133,SupplierB
2006,Office-Class,Clothing,198,144,SupplierA
2007,Clothing-Over,Electronics,583.39,156,LocalVendor
2008,Electronics-Skin,Home,66.59,135,LocalVendor
2009,Office-Raise,Clothing,66.31,123,SupplierB
2010,Electronics-Themselves,Clothing,77.84,,SupplierA
2011,Electronics-Religious,Clothing,409.74,197,SupplierA
2012,Clothing-Artist,Electronics,623.19,146,SupplierA
2013,Office-Cultural,Home,935.36,41,LocalVendor
2014,Clothing-Eat,Home,246.3,60,SupplierA
2015,Office-Itself,Clothing,674.97,18,SupplierB
2015,Office-Itself,Clothing,674.97,18,SupplierB
2016,Home-He,Office,323.02,89,LocalVendor
2017,Electronics-Feeling,Electronics,463.7,26,Supplierc
2018,Electronics-Nature,Electronics,542.26,33,SupplierA
2019,Home-History,Clothing,933.93,125,LocalVendor
2020,Electronics-Share,Clothing,375.83,15,LocalVendor
2021,Clothing-Skill,Office,835.41,169,SupplierB
2022,Home-Economy,Electronics,671.18,93,LocalVendor
2023,Home-Yeah,Electronics,939.54,191,SupplierB
2024,Clothing-Paper,Home,124.27,160,LocalVendor
2025,Electronics-Assume,Clothing,279.62,156,SupplierA
2026,Clothing-Use,Home,211.56,62,SupplierA
2027,Home-Purpose,Office,258.61,40,SupplierB
2028,Electronics-Take,Electronics,637.94,19,LocalVendor
2029,Home-Yourself,Electronics,13.51,25,SupplierA
2030,Clothing-First,Home,169.97,141,SupplierA
2031,Office-Develop,Office,565.3,112,SupplierB
2032,Electronics-There,Electronics,945.6,70,SupplierA
2033,Clothing-Argue,Electronics,836.25,169,SupplierB
2034,Clothing-Feel,Office,136.17,56,SupplierB
2035,Home-According,Home,899.99,143,LocalVendor
2036,Electronics-Candidate,Home,217.98,136,LocalVendor
2037,Clothing-Meeting,Electronics,360.14,174,SupplierB
2038,Office-Soon,Clothing,926.51,70,SupplierB
2039,Clothing-Need,Clothing,976.44,124,SupplierB
2040,Clothing-Determine,Office,34.54,37,SupplierB
2041,Home-Assume,Office,804.21,175,SupplierA
2042,Clothing-Lawyer,Home,167.61,155,LocalVendor
2043,Electronics-Practice,Office,873.45,26,SupplierA
2044,Office-Society,Clothing,207.58,172,LocalVendor
2045,Office-Next,Home,312.14,0,SupplierA
2046,Clothing-Worry,Clothing,33.43,117,SupplierB
2047,Clothing-Hair,Office,334.98,0,SupplierB
2048,Electronics-Candidate,Home,357.63,112,LocalVendor
2049,Office-Easy,Home,939.84,54,SupplierA
2050,Electronics-Young,Home,186.78,136,SupplierB
2051,Home-Century,Electronics,117.32,141,SupplierB
2052,Office-Year,Home,731.26,31,SupplierB
2053,Home-Ground,Office,610.15,66,LocalVendor
2054,Electronics-Above,Office,900.51,73,SupplierB
2055,Clothing-Politics,Home,53.94,52,SupplierB
2056,Office-About,Electronics,524.72,52,SupplierB
2057,Clothing-Identify,Home,436.98,82,LocalVendor
2058,Home-Wear,Home,666.75,13,SupplierB
2059,Electronics-Clear,Home,512.05,22,SupplierB
2060,Office-Term,Home,408.38,3,LocalVendor
2061,Home-Quite,Clothing,199.92,198,SupplierA
2062,Office-Receive,Clothing,619.36,38,LocalVendor
2063,Home-Good,Office,552.46,3,SupplierA
2064,Electronics-Stop,Home,294.04,92,SupplierB
2065,Office-Animal,Home,470.34,184,SupplierA
2066,Office-Occur,Clothing,516.06,179,SupplierB
2067,Clothing-Remain,Electronics,290.95,80,LocalVendor
2068,Home-Read,Electronics,820.24,188,SupplierA
2069,Clothing-Garden,Home,232.39,18,LocalVendor
2070,Clothing-About,Clothing,34.18,154,SupplierA
2071,Clothing-Success,Office,615.16,126,SupplierB
2072,Electronics-Become,Office,420.3,11,SupplierB
2073,Clothing-Executive,Office,499.43,107,SupplierA
2074,Clothing-Strong,Clothing,659.5,55,LocalVendor
2075,Electronics-Letter,Electronics,780.64,91,SupplierA
2076,Clothing-Affect,Clothing,806.07,177,SupplierA
2077,Office-Ball,Electronics,561.83,27,LocalVendor
2078,Electronics-Film,Office,142.01,156,LocalVendor
2079,Office-Who,Home,950.54,163,SupplierA
2080,Office-Doctor,Office,832.26,55,SupplierA
2081,Office-Light,Clothing,746.22,173,SupplierA
2082,Office-Figure,Office,266.6,162,SupplierB
2083,Clothing-Cut,Home,768.16,169,LocalVendor
2084,Office-Stuff,Clothing,281.85,178,LocalVendor
2085,Electronics-Officer,Home,242.15,152,SupplierA
2086,Home-Of,Home,894.1,41,SupplierB
2087,Electronics-Rather,Clothing,159.32,120,SupplierB
2088,Office-Evening,Clothing,709.35,147,LocalVendor
2089,Electronics-Action,Office,413.52,167,SupplierB
2090,Office-Staff,Office,71.64,124,SupplierB
2091,Office-Mrs,Office,905.79,146,SupplierB
2092,Electronics-Add,Office,482.21,75,LocalVendor
2093,Home-Real,Home,755.94,85,SupplierB
2094,Office-Fight,Clothing,493.35,41,SupplierA
2095,Home-Seem,Office,490.79,2,SupplierA
2096,Office-Discuss,Home,672.18,130,LocalVendor
2097,Office-Recent,Clothing,842.1,54,SupplierA
2098,Clothing-Trouble,Electronics,907.86,192,SupplierA
2099,Electronics-Several,Electronics,646.32,131,SupplierA
